inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV01,1,1,1,9890197.445,459568.105,-0.993397,116.636597,68.87,7.514,186.0,-0.79,0.42,,,,
WB01-INV01,2,2,1,9890197.487,459583.711,-0.9933967,116.6367372,68.86,10.648,2.2,0.41,0.071,459584.647,9890199.417,-0.9933792,116.6367456
WB01-INV01,3,3,2,9890197.545,459599.322,-0.9933962,116.6368775,68.81,10.211,0.4,0.07,0.062,459600.247,9890199.417,-0.9933792,116.6368859
WB01-INV01,4,4,2,9890204.853,459614.843,-0.9933301,116.637017,68.24,10.68,4.3,0.81,0.13,459615.847,9890206.685,-0.9933135,116.6370261
WB01-INV01,5,5,3,9890197.569,459614.857,-0.993396,116.6370172,68.89,11.31,2.9,0.58,0.134,459615.847,9890199.417,-0.9933793,116.6370261
WB01-INV01,6,6,3,9890197.589,459630.487,-0.9933958,116.6371576,68.89,11.569,0.9,0.18,0.134,459631.447,9890199.417,-0.9933793,116.6371663
WB01-INV01,7,7,4,9890204.905,459630.383,-0.9933296,116.6371567,68.28,12.134,1.0,0.21,0.139,459631.447,9890206.685,-0.9933135,116.6371663
WB01-INV01,8,8,4,9890204.826,459646.079,-0.9933303,116.6372978,68.45,11.235,0.0,0.0,0.095,459647.047,9890206.685,-0.9933135,116.6373065
WB01-INV01,9,9,5,9890197.542,459646.059,-0.9933962,116.6372976,68.82,10.178,2.0,0.36,0.075,459647.047,9890199.417,-0.9933793,116.6373065
WB01-INV01,10,10,5,9890204.802,459661.567,-0.9933306,116.637437,68.7,10.419,2.5,0.46,0.156,459662.647,9890206.685,-0.9933135,116.6374467
WB01-INV01,11,11,6,9890197.551,459661.604,-0.9933962,116.6374373,69.02,9.751,1.6,0.27,0.153,459662.647,9890199.417,-0.9933793,116.6374467
WB01-INV01,12,12,6,9890175.919,459567.828,-0.9935918,116.6365945,70.3,11.687,5.0,1.03,0.123,459569.047,9890177.613,-0.9935765,116.6366054
WB01-INV01,13,13,7,9890175.948,459583.36,-0.9935915,116.6367341,70.16,10.184,3.2,0.57,0.1,459584.647,9890177.613,-0.9935765,116.6367456
WB01-INV01,14,14,7,9890176.007,459599.009,-0.993591,116.6368747,69.97,11.36,0.7,0.14,0.063,459600.247,9890177.613,-0.9935765,116.6368858
WB01-INV01,15,15,8,9890176.124,459614.613,-0.99359,116.637015,69.99,10.749,0.5,0.09,0.06,459615.847,9890177.613,-0.9935765,116.637026
WB01-INV01,16,16,8,9890176.117,459630.149,-0.9935901,116.6371546,69.91,10.219,4.2,0.76,0.071,459631.447,9890177.613,-0.9935765,116.6371663
WB01-INV01,17,17,9,9890176.06,459645.807,-0.9935906,116.6372953,69.91,11.424,1.4,0.28,0.045,459647.047,9890177.613,-0.9935765,116.6373065
WB01-INV01,18,18,9,9890176.037,459661.343,-0.9935908,116.637435,70.03,10.237,1.4,0.25,0.116,459662.647,9890177.613,-0.9935766,116.6374467
WB01-INV02,1,1,1,9890168.726,459567.902,-0.9936569,116.6365951,70.87,11.799,0.7,0.15,0.068,459569.047,9890170.345,-0.9936422,116.6366054
WB01-INV02,2,2,1,9890161.437,459567.863,-0.9937228,116.6365948,71.41,11.63,2.5,0.51,0.107,459569.047,9890163.077,-0.993708,116.6366054
WB01-INV02,3,3,2,9890154.249,459567.86,-0.9937878,116.6365947,71.76,10.872,3.3,0.63,0.137,459569.047,9890155.809,-0.9937737,116.6366054
WB01-INV02,4,4,2,9890168.741,459583.473,-0.9936567,116.6367351,70.76,10.619,3.0,0.56,0.084,459584.647,9890170.345,-0.9936422,116.6367456
WB01-INV02,5,5,3,9890161.453,459583.417,-0.9937227,116.6367346,71.2,10.221,3.5,0.63,0.106,459584.647,9890163.077,-0.993708,116.6367456
WB01-INV02,6,6,3,9890154.266,459583.468,-0.9937877,116.636735,71.56,9.852,3.2,0.56,0.074,459584.647,9890155.809,-0.9937737,116.6367456
WB01-INV02,7,7,4,9890168.746,459598.973,-0.9936567,116.6368744,70.59,11.436,2.3,0.47,0.085,459600.247,9890170.345,-0.9936423,116.6368858
WB01-INV02,8,8,4,9890161.499,459598.986,-0.9937223,116.6368745,71.05,10.275,2.6,0.47,0.106,459600.247,9890163.077,-0.993708,116.6368858
WB01-INV02,9,9,5,9890154.281,459599.052,-0.9937876,116.6368751,71.38,9.711,1.6,0.27,0.071,459600.247,9890155.809,-0.9937738,116.6368858
WB01-INV02,10,10,5,9890168.822,459614.633,-0.9936561,116.6370151,70.64,11.023,0.7,0.14,0.058,459615.847,9890170.345,-0.9936423,116.637026
WB01-INV02,11,11,6,9890161.532,459614.578,-0.993722,116.6370146,70.88,10.692,2.6,0.49,0.075,459615.847,9890163.077,-0.993708,116.637026
WB01-INV02,12,12,6,9890154.3,459614.665,-0.9937874,116.6370154,71.3,11.14,2.4,0.47,0.105,459615.847,9890155.809,-0.9937738,116.637026
WB01-INV02,13,13,7,9890168.856,459630.184,-0.9936558,116.6371549,70.57,10.714,2.6,0.49,0.057,459631.447,9890170.345,-0.9936423,116.6371662
WB01-INV02,14,14,7,9890161.561,459630.202,-0.9937218,116.6371551,70.79,10.178,2.1,0.38,0.042,459631.447,9890163.077,-0.993708,116.6371662
WB01-INV02,15,15,8,9890168.879,459645.832,-0.9936556,116.6372955,70.54,10.09,1.7,0.3,0.062,459647.047,9890170.345,-0.9936423,116.6373065
WB01-INV02,16,16,8,9890161.567,459645.814,-0.9937217,116.6372954,70.82,10.306,0.2,0.04,0.031,459647.047,9890163.077,-0.9937081,116.6373065
WB01-INV02,17,17,9,9890168.917,459661.376,-0.9936552,116.6374352,70.55,9.909,2.3,0.4,0.104,459662.647,9890170.345,-0.9936423,116.6374467
WB01-INV02,18,18,9,9890161.613,459661.331,-0.9937213,116.6374348,71.05,10.066,3.1,0.55,0.119,459662.647,9890163.077,-0.9937081,116.6374467
WB01-INV03,1,1,1,9890146.904,459567.876,-0.9938543,116.6365949,71.98,13.488,5.5,1.32,0.225,459569.047,9890148.541,-0.9938395,116.6366054
WB01-INV03,2,2,1,9890139.509,459568.259,-0.9939212,116.6365983,72.83,11.892,1.8,0.38,0.133,459569.047,9890141.273,-0.9939052,116.6366054
WB01-INV03,3,3,2,9890132.338,459568.284,-0.9939861,116.6365985,73.32,13.076,0.6,0.14,0.132,459569.047,9890134.005,-0.993971,116.6366054
WB01-INV03,4,4,2,9890146.843,459583.531,-0.9938549,116.6367356,72.0,13.837,2.7,0.66,0.138,459584.647,9890148.541,-0.9938395,116.6367456
WB01-INV03,5,5,3,9890139.506,459583.924,-0.9939212,116.6367391,72.63,13.064,0.5,0.12,0.188,459584.647,9890141.273,-0.9939053,116.6367456
WB01-INV03,6,6,3,9890146.821,459599.097,-0.9938551,116.6368755,71.89,13.758,2.3,0.56,0.134,459600.247,9890148.541,-0.9938395,116.6368858
